I1,I2,I1MAX,I1MIN,I1VAR,I2MAX,I2MIN,I2VAR,I3,I4,I3max,I3min,I3var,I4MAX,I4MIN,I5,I6,Itotal1,Itotalmax1,Itotalmin1,Vdcmean1,Vdcmax1,Vdcmin1,Pdcmean1,IR,T,range 1,range 2,range 3,range 4,class
2.1509639,2.1509639,2.3320523,2.1448712,0.0000687,2.3320523,2.1448712,0.0000687,2.3079984,2.3079984,2.3350877,2.3016212,0.0000739,2.3350877,2.3016212,2.3079984,2.3079984,426.8767472,457.3892348,394.6612439,508.4733122,510.0714816,500.6046893,103.258221,405,22,0.1871811,0.1871811,0,0,1
0.63377,0.63377,0.8352313,0.5939821,0.0000024,0.8352313,0.5939821,0.0000024,0.8372589,0.8372589,0.8381803,0.8366204,0.0000001,0.8381803,0.8366204,0.8372589,0.8372589,426.6793033,456.6115455,393.4941856,478.5024851,478.7741202,478.2295227,35.1625042,147,33,0.2412492,0.2412492,0,0,1
2.4533636,2.4533636,2.7813777,2.430879,0.0003248,2.7813777,2.430879,0.0003248,2.7414036,2.7414036,2.7844579,2.722999,0.0003612,2.7844579,2.722999,2.7414036,2.7414036,426.5186491,457.1973153,394.6202678,516.8098988,521.0987248,504.4295698,124.6361063,480,16,0.3504987,0.3504987,0,0,1
2.5678322,2.5678322,2.7074941,2.5458321,0.0000022,2.7074941,2.5458321,0.0000022,2.7113722,2.7113722,2.7147937,2.7082598,0.0000012,2.7147937,2.7082598,2.7113722,2.7113722,426.5791892,456.458196,393.2775776,493.5401593,493.7878194,493.3829244,117.6898991,476,34,0.161662,0.161662,0,0,1
3.9346437,3.9346437,4.2095353,3.9225465,0.0002788,4.2095353,3.9225465,0.0002788,4.1612189,4.1612189,4.2142136,4.1485952,0.0003016,4.2142136,4.1485952,4.1612189,4.1612189,426.5880512,457.2402623,394.6549389,520.354528,522.1578749,511.8737902,190.5508906,731,17,0.2869887,0.2869887,0,0,1
3.9195428,3.9195428,4.1472137,3.8947839,0.0000081,4.1472137,3.8947839,0.0000081,4.1401206,4.1401206,4.1526079,4.1338984,0.0000058,4.1526079,4.1338984,4.1401206,4.1401206,426.9477642,457.3887511,394.5936279,511.5017836,511.947146,509.5131876,186.2754845,728,24,0.2524298,0.2524298,0,0,1
1.0718366,1.0718366,1.2480899,1.0602617,0.0000898,1.2480899,1.0602617,0.0000898,1.2299764,1.2299764,1.250839,1.2203464,0.0000966,1.250839,1.2203464,1.2299764,1.2299764,426.3479086,457.0703512,394.5171964,509.0158109,514.3684097,495.6922828,55.0688117,215,14,0.1878282,0.1878282,0,0,1
0.446092,0.446092,0.7445771,0.3951859,0.0000345,0.7445771,0.3951859,0.0000345,0.7368186,0.7368186,0.7471903,0.732363,0.0000191,0.7471903,0.732363,0.7368186,0.7368186,426.3478887,457.070331,394.5171763,502.7975511,506.4651765,492.5634984,32.4857538,129,14,0.3493912,0.3493912,0,0,1
3.1824619,3.1824619,3.9988723,3.0018528,0.0000413,3.9988723,3.0018528,0.0000413,3.9970713,3.9970713,4.0043024,3.9925339,0.0000032,4.0043024,3.9925339,3.9970713,3.9970713,426.7575264,456.8017596,393.6671924,499.525599,499.7611612,499.0671256,175.3190398,702,32,0.9970195,0.9970195,0,0,1
2.7836588,2.7836588,2.9709597,2.7714762,0.0001848,2.9709597,2.7714762,0.0001848,2.9354459,2.9354459,2.9743401,2.922796,0.0001989,2.9743401,2.922796,2.9354459,2.9354459,426.7386298,457.3362583,394.6922217,514.7329528,517.0476678,505.4133975,132.979927,515,19,0.1994834,0.1994834,0,0,1
4.7166736,4.7166736,5.0106262,4.6961584,0.000487,5.0106262,4.6961584,0.000487,4.9511112,4.9511112,5.0153329,4.9298008,0.0005253,5.0153329,4.9298008,4.9511112,4.9511112,452.3200438,457.0703349,450.8325607,524.8873637,527.2234321,515.8945406,228.7206302,870,14,0.3144678,0.3144678,0,0,1
1.1759582,1.1759582,1.5718007,1.1120388,0.0000784,1.5718007,1.1120388,0.0000784,1.5524428,1.5524428,1.5745641,1.5459061,0.0000654,1.5745641,1.5459061,1.5524428,1.5524428,426.7386049,457.336233,394.6921969,506.9677194,509.6848911,496.5422361,69.1272739,272,19,0.4597619,0.4597619,0,0,1
0.9175879,0.9175879,1.1933003,0.8703289,0.0000175,1.1933003,0.8703289,0.0000175,1.1851717,1.1851717,1.1960241,1.1825036,0.0000133,1.1960241,1.1825036,1.1851717,1.1851717,426.8767311,457.3892185,394.661228,500.0461686,501.253031,494.0944752,52.0493446,208,22,0.3229715,0.3229715,0,0,1
2.2776428,2.2776428,2.588769,2.2579692,0.0003448,2.588769,2.2579692,0.0003448,2.5493946,2.5493946,2.5916876,2.530323,0.0003831,2.5916876,2.530323,2.5493946,2.5493946,426.4354459,457.1222651,394.5751724,516.8332655,521.9558918,503.0969145,115.9175765,446,15,0.3307998,0.3307998,0,0,1
1.8067005,1.8067005,2.0939356,1.7819137,0.0002225,2.0939356,1.7819137,0.0002225,2.0638564,2.0638564,2.0967649,2.0493847,0.0002424,2.0967649,2.0493847,2.0638564,2.0638564,426.5186522,457.1973185,394.620271,513.2668472,518.0569073,500.4519504,93.1739539,361,16,0.3120219,0.3120219,0,0,1
4.6412403,4.6412403,4.8410953,4.6249054,0.000337,4.8410953,4.6249054,0.000337,4.7899591,4.7899591,4.8456963,4.7733313,0.0003492,4.8456963,4.7733313,4.7899591,4.7899591,440.9578726,457.1973353,436.6084122,522.4207006,524.2068288,514.2262071,220.2684645,842,16,0.2161899,0.2161899,0,0,1
2.0698056,2.0698056,2.3317515,2.026156,0.0000055,2.3317515,2.026156,0.0000055,2.3282704,2.3282704,2.3351188,2.3254448,0.000002,2.3351188,2.3254448,2.3282704,2.3282704,426.9689026,457.2664948,394.3166763,500.8385657,501.2158712,498.5106554,102.5094475,409,28,0.3055954,0.3055954,0,0,1
5.046481,5.046481,5.2818218,5.022156,0.0007723,5.2818218,5.022156,0.0007723,5.2154146,5.2154146,5.2870107,5.190512,0.0008119,5.2870107,5.190512,5.2154146,5.2154146,475.6169511,476.2996754,474.4162957,527.175131,530.0413506,516.8558441,242.0349039,916,12,0.2596658,0.2596658,0,0,1
1.6494995,1.6494995,1.9006737,1.6013241,0.0000041,1.9006737,1.6013241,0.0000041,1.9022855,1.9022855,1.9046891,1.9003271,0.0000007,1.9046891,1.9003271,1.9022855,1.9022855,426.8418916,456.9340637,393.9212472,493.867189,494.1787964,492.7320814,82.561205,334,31,0.2993496,0.2993496,0,0,1
2.237637,2.237637,2.8130226,2.1553678,0.000763,2.8130226,2.1553678,0.000763,2.7698693,2.7698693,2.8159703,2.7392694,0.0007056,2.8159703,2.7392694,2.7698693,2.7698693,425.9708781,456.7259985,394.2826678,521.4350348,529.9219478,505.2736829,126.9555795,483,10,0.6576548,0.6576548,0,0,1
1.1060638,1.1060638,1.51625,1.0439665,0.0001821,1.51625,1.0439665,0.0001821,1.4939784,1.4939784,1.518957,1.481847,0.0001453,1.518957,1.481847,1.4939784,1.4939784,426.3478824,457.0703245,394.51717,511.2250256,516.9067275,496.9375086,67.0827331,261,14,0.4722836,0.4722836,0,0,1
3.3101367,3.3101367,3.7048234,3.2844127,0.0006249,3.7048234,3.2844127,0.0006249,3.6485877,3.6485877,3.7082131,3.6210155,0.0007072,3.7082131,3.6210155,3.6485877,3.6485877,426.165562,456.9037264,394.3961809,524.2714388,529.251081,510.6967152,168.3091548,639,12,0.4204106,0.4204106,0,0,1
3.9261858,3.9261858,4.149627,3.8900619,0.000007,4.149627,3.8900619,0.000007,4.153715,4.153715,4.1600618,4.1482243,0.0000047,4.1600618,4.1482243,4.153715,4.153715,426.968905,457.2664972,394.3166786,505.6990708,505.955319,505.3257343,184.7342353,730,28,0.2595651,0.2595651,0,0,1
0.4005216,0.4005216,0.9354794,0.3120247,0.0001992,0.9354794,0.3120247,0.0001992,0.9231594,0.9231594,0.9381624,0.9135599,0.0000658,0.9381624,0.9135599,0.9231594,0.9231594,425.9708784,456.7259989,394.2826681,508.7672368,516.2377709,494.6664263,41.1158566,161,10,0.6234547,0.6234547,0,0,1
3.5425049,3.5425049,3.9331686,3.4852363,0.0000266,3.9331686,3.4852363,0.0000266,3.9187491,3.9187491,3.9377388,3.9117885,0.0000207,3.9377388,3.9117885,3.9187491,3.9187491,426.9053729,457.4292831,394.6168777,512.5581259,513.1494837,509.084659,176.6147645,689,23,0.4479323,0.4479323,0,0,1
4.1078573,4.1078573,4.2486542,4.0897843,0.0000038,4.2486542,4.0897843,0.0000038,4.2519132,4.2519132,4.2558642,4.2467598,0.0000028,4.2558642,4.2467598,4.2519132,4.2519132,426.8419074,456.9340797,393.9212623,501.3881809,501.5676637,501.2590972,187.5335136,747,31,0.1588699,0.1588699,0,0,1
0.6713042,0.6713042,2.2527143,0.3119283,0.0002613,2.2527143,0.3119283,0.0002613,2.234321,2.234321,2.2558524,2.2292515,0.0000421,2.2558524,2.2292515,2.234321,2.234321,426.9053592,457.4292693,394.6168643,506.6988759,507.9480487,500.2172896,98.9187631,392,23,1.9407861,1.9407861,0,0,1
4.2005586,4.2005586,4.549989,4.1353294,0.0000102,4.549989,4.1353294,0.0000102,4.5553727,4.5553727,4.562572,4.549953,0.0000041,4.562572,4.549953,4.5553727,4.5553727,430.5921872,457.3957887,415.5035541,510.4713138,510.7182733,510.0210532,204.4576973,801,25,0.4146596,0.4146596,0,0,1
0.8494182,0.8494182,1.9790995,0.6462581,0.0009242,1.9790995,0.6462581,0.0009242,1.9496676,1.9496676,1.9818682,1.930136,0.0003111,1.9818682,1.930136,1.9496676,1.9496676,426.1655474,456.9037114,394.396166,515.6365258,523.1777678,499.9964569,88.0089182,340,12,1.3328414,1.3328414,0,0,1
2.5318742,2.5318742,2.8693104,2.5065546,0.0002758,2.8693104,2.5065546,0.0002758,2.8303979,2.8303979,2.8724764,2.8158693,0.0003062,2.8724764,2.8158693,2.8303979,2.8303979,426.5880448,457.2402559,394.6549326,516.3387742,519.7034623,504.9812977,128.5602525,496,17,0.3627558,0.3627558,0,0,1
4.7582218,4.7582218,5.0548769,4.7224259,0.0000178,5.0548769,4.7224259,0.0000178,5.0462722,5.0462722,5.0614011,5.0360201,0.0000142,5.0614011,5.0360201,5.0462722,5.0462722,461.7509465,462.7898266,459.739288,516.4804356,517.0733472,513.7917738,229.2496927,888,21,0.332451,0.332451,0,0,1
